,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
288,Danny,3,3, Baker got through to the next round,False,False,True,False,False,False,False
289,Cathryn,3,3, Baker got through to the next round,False,False,True,False,False,False,False
290,Ryan,3,3, Baker got through to the next round,False,False,True,False,False,False,False
291,Sarah-Jane,3,3, Baker got through to the next round,False,False,True,False,False,False,False
292,Manisha,3,3, Baker got through to the next round,False,False,True,False,False,False,False
293,Stuart,3,3," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
294,Victoria,3,3, Baker was eliminated,True,False,False,False,False,False,False
295,Peter,3,3,out,False,False,False,False,False,False,False
296,Natasha,3,3,out,False,False,False,False,False,False,False
297,Frances,4,3,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
298,Kimberley,4,3,Baker got through to the next round,False,False,True,False,False,False,False
299,Ruby,4,3,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
300,Beca,4,3,Baker got through to the next round,False,False,True,False,False,False,False
301,Christine,4,3,Baker was the Star Baker,False,True,False,False,False,False,False
302,Glenn,4,3,Baker got through to the next round,False,False,True,False,False,False,False
303,Howard,4,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
304,Robert,4,3,Baker got through to the next round,False,False,True,False,False,False,False
305,Ali,4,3,Baker got through to the next round,False,False,True,False,False,False,False
306,Deborah,4,3,Baker was eliminated,True,False,False,False,False,False,False
307,Mark,4,3,Baker was eliminated,True,False,False,False,False,False,False
308,Lucy,4,3,out,False,False,False,False,False,False,False
309,Toby,4,3,out,False,False,False,False,False,False,False
310,Nancy,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
311,Luis,5,3,Baker was the Star Baker.,False,True,False,False,False,False,False
312,Richard,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
313,Chetna,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
314,Martha,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
315,Kate,5,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
316,Norman,5,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
317,Diana,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
318,Iain,5,3,Baker got through to the next round.,False,False,True,False,False,False,False
319,Jordan,5,3,Baker was eliminated.,True,False,False,False,False,False,False
320,Enwezor,5,3,out,False,False,False,False,False,False,False
321,Claire,5,3,out,False,False,False,False,False,False,False
322,Jo,2,3, Baker got through to the next round,False,False,True,False,False,False,False
323,Holly,2,3, Baker got through to the next round,False,False,True,False,False,False,False
324,Mary-Anne,2,3," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
325,Janet,2,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
326,Yasmin,2,3, Baker was the Star Baker,False,True,False,False,False,False,False
327,Jason,2,3, Baker got through to the next round,False,False,True,False,False,False,False
328,Robert,2,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
329,Ben,2,3, Baker got through to the next round,False,False,True,False,False,False,False
330,Ian,2,3, Baker was eliminated,True,False,False,False,False,False,False
331,Urvashi,2,3, Baker was eliminated,True,False,False,False,False,False,False
332,Simon,2,3,out,False,False,False,False,False,False,False
333,Keith,2,3,out,False,False,False,False,False,False,False
334,Candice,7,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
335,Andrew,7,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
336,Jane,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
337,Selasi,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
338,Benjamina,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
339,Tom,7,3,Baker was the Star Baker.,False,True,False,False,False,False,False
340,Rav,7,3,Baker got through to the next round.,False,False,True,False,False,False,False
341,Val,7,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
342,Kate,7,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
343,Michael,7,3,Baker was eliminated.,True,False,False,False,False,False,False
344,Louise,7,3,out,False,False,False,False,False,False,False
345,Lee,7,3,out,False,False,False,False,False,False,False
346,Sophie,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
347,Kate,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
348,Steven,8,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
349,Stacey,8,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
350,Liam,8,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
351,Yan,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
352,Julia,8,3,Baker was the Star Baker.,False,True,False,False,False,False,False
353,James,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
354,Tom,8,3,Baker got through to the next round.,False,False,True,False,False,False,False
355,Flo,8,3,Baker was eliminated.,True,False,False,False,False,False,False
356,Chris,8,3,out,False,False,False,False,False,False,False
357,Peter,8,3,out,False,False,False,False,False,False,False
358,Edd,1,3, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
359,Ruth,1,3, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
360,Miranda,1,3, Baker got through to the next round,False,False,True,False,False,False,False
361,Jasminder,1,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
362,David,1,3," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
363,Jonathan,1,3, Baker was eliminated,True,False,False,False,False,False,False
364,Annetha,1,3,out,False,False,False,False,False,False,False
365,Louise,1,3,out,False,False,False,False,False,False,False
366,Lea,1,3,out,False,False,False,False,False,False,False
367,Mark,1,3,out,False,False,False,False,False,False,False
368,Nadiya,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
369,Ian,6,3,Baker was the Star Baker.,False,True,False,False,False,False,False
370,Tamal,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
371,Flora,6,3,Baker got through to the next round.,False,False,True,False,False,False,False
372,Paul,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
373,Mat,6,3,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
374,Alvin,6,3,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
